state_group,lane,name,title,company,domain,email,email_status,company_source,contact_source,need_source,need_evidence,match_score,approval_status
Southeast,Direct,Beatriz bizi Hernandez,Founding Principal,Bizi Arq,biziarq.com,,unresolved,https://biziarq.com/,https://www.biziarq.com/our-team,https://www.biziarq.com/projects/the-point-at-district-flats,"Official Bizi Arq team page identifies Beatriz “Bizi” M. Hernandez as Founding principal + RA/LEED AP and says she launched BIZI ARQ in 2023; its official project page dated Mar 13, 2026 identifies her as architect for The Point at District Flats, a four-story mixed-use development.",61,candidate_pending_findymail
Southeast,Direct,Sandi Brazell,President,Solid Structures,solidstructures.info,,unresolved,https://www.solidstructures.info/about,https://www.solidstructures.info/our-team,https://www.solidstructures.info/commercial-construction-projects,"Official About page identifies Solid Structures as a commercial general contractor serving owners, developers, architects, municipalities, and public-sector clients; official team page lists Sandi Brazell as President/Owner; official projects page documents commercial buildings, renovations, airport, hospital, college, library, and detention-center work.",61,candidate_pending_findymail
Southeast,Direct,Hector Gonzalez,CEO and Project Coordinator,Axis Construction,axisconstructionflorida.com,,unresolved,https://axisconstructionflorida.com/about,https://axisconstructionflorida.com/about,https://axisconstructionflorida.com/,"Official Axis Construction pages identify Hector Gonzalez as CEO and Project Coordinator, state the company has completed more than 50 commercial projects, and describe current Florida office, retail, and industrial construction capabilities.",61,candidate_pending_findymail
Southeast,Hot Market,Takashi Sekiguchi,President & CEO,Shimizu North America,shimizu.com,,unresolved,https://shimizu.com/,https://shimizu.com/about/leadership/takashi-sekiguchi,https://shimizu.com/projects,"Official Shimizu North America leadership page identifies Takashi “Taka” Sekiguchi as President and CEO and says he leads strategy, growth, and operations; official site documents turnkey general contracting and engineering services, process EPC expansion, and an active projects portfolio.",61,candidate_pending_findymail
Southeast,Direct,Landon Smith,Vice President of Construction,Modev Group,modevgroup.com,,unresolved,https://modevgroup.com/,https://modevgroup.com/who-we-are,https://modevgroup.com/what-we-do,"Official Modev Group team page identifies Landon Smith as Vice President of Construction and says he leads complex projects; official services page documents active land development, entitlement, utilities, design, preconstruction, and construction work.",61,candidate_pending_findymail
Southeast,Direct,Jason Allinson,Vice President / Senior Manager,Genoa Construction,genoaco.com,,unresolved,https://genoaco.com/,https://genoaco.com/about-us,https://genoaco.com/,"Official Genoa site identifies Jason Allinson, LEED AP as Vice President/Senior Manager and documents his commercial project experience; current official site describes Genoa as an Atlanta commercial construction firm serving financial, institutional, hospitality, office, renovation, retail, and specialty projects.",61,candidate_pending_findymail
Southeast,Direct,Chase Lanier,Co-Owner,Dovetail Construction,dovetailconstruction.us,,unresolved,https://dovetailconstruction.us/,https://dovetailconstruction.us/team,https://dovetailconstruction.us/project,"Official Dovetail team page identifies founders Chase Lanier and Eric Segale and lists Chase as Co-Owner; official project pages document commercial and industrial work including the 3,200-SF Brains on Fire office upfit in Greenville's Poe West development.",61,candidate_pending_findymail
Southeast,Direct,Craig Lamberson,CEO,J. O. Delotto & Sons,delotto.com,,unresolved,https://delotto.com/,https://delotto.com/about,https://delotto.com/commercial/,"Official DeLotto About page identifies Craig Lamberson as CEO and publishes his construction/development background; official company pages document commercial contracting and current hiring for project managers, superintendents, and project administrators, alongside school, office, medical, church, and arts-center construction work.",61,candidate_pending_findymail
Southeast,Direct,Chuck Mays,Principal,Patner Construction,patnerconstruction.com,,unresolved,https://patnerconstruction.com/about-us,https://patnerconstruction.com/about-us,https://patnerconstruction.com/career-opportunities,"Official Patner page identifies Chuck Mays as a Principal with commercial construction experience spanning historical renovations, civil construction, athletic facilities, and higher education; official careers page cites ongoing and upcoming Metropolitan Washington Airports Authority projects.",61,candidate_pending_findymail
Southeast,Hot Market,Russ Watkins,President | Chief Executive Officer,Partners Development,partnersinfo.com,,unresolved,https://partnersinfo.com/,https://partnersinfo.com/team,https://partnersinfo.com/project-development,"Official Partners Development team page identifies Russ Watkins as President and CEO; official site describes the firm as a full-service real estate development company and documents current commercial project development, financing, planning, and Parkside Plaza work.",60,candidate_pending_findymail
