company_name,website,company_type,city,state,contact_first_name,contact_last_name,job_title,email,email_type,verification_status,verification_method,source_url,date_verified
"ODA","https://www.oda-architecture.com","Architecture","New York","New York","","","New Business","newbusiness@oda-architecture.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://oda-architecture.com/contact","2026-09-11"
"Modellus Novus","https://www.mndpc.com","Architecture","New York","New York","","","General Inquiries","info@mndpc.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.aiany.org/resources/firm-directory/modellus-novus","2026-09-11"
"TenBerke","https://tenberke.com","Architecture","New York","New York","","","Inquiries","inquiries@tenberke.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.aiany.org/resources/firm-directory/tenberke","2026-09-11"
"INC Architecture & Design","https://inc.nyc","Architecture","New York","New York","","","Business Development","busdev@inc.nyc","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.aiany.org/resources/firm-directory/incorporated-architecture-and-design","2026-09-11"
"FXCollaborative","https://www.fxcollaborative.com","Architecture","Brooklyn","New York","","","General Inquiries","info@fxcollaborative.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.fxcollaborative.com/profile/5/contact","2026-09-11"
"New York Design Architects LLP","https://www.newyorkdesign.com","Architecture","New York","New York","","","General Inquiries","info@newyorkdesign.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","http://newyorkdesign.com/","2026-09-11"
"Bart Landscape Architecture","https://www.mbartla.com","Architecture","New York","New York","Marjorie","Bart","Founder","info@mbartla.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.mbartla.com/","2026-09-11"
"JRM Construction Management","https://www.jrmcm.com","Construction Management","New York","New York","","","New York Office","jrmny@jrmcm.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.jrmcm.com/contact.html","2026-09-11"
"New York Developers & Management","https://www.nydevelopers.net","Construction Management / Developer","Brooklyn","New York","","","General Inquiries","info@nydevelopers.net","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.nydevelopers.net/contact","2026-09-11"
"Collaborative Construction Management","https://ccm.nyc","Construction Management","New York","New York","","","General Inquiries","info@ccm-nyc.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://ccm.nyc/contact-us","2026-09-11"
"LLNY Group","https://www.llnygroup.com","Commercial General Contractor","New York","New York","","","General Inquiries","info@llnygroup.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.llnygroup.com/contact","2026-09-11"
"NYC Constructors","https://www.nycconstructors.com","Commercial General Contractor","New York","New York","","","General Inquiries","inquiries@nycconstructors.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.nycconstructors.com/contact","2026-09-11"
"EP Engineering","https://www.epengineering.com","Engineering","New York","New York","","","General Inquiries","info@epengineering.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.epengineering.com/","2026-09-11"
"L+M Development Partners","https://lmdevpartners.com","Multifamily Developer","New York","New York","","","General Inquiries","info@lmdevpartners.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://staging.lmdevpartners.com/contact-us","2026-09-11"
"Brooklyn Developers","https://bkdevelopers.com","Developer / Construction","Brooklyn","New York","","","General Inquiries","info@bkdevelopers.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://bkdevelopers.com/portfolio/east-86th-nyc","2026-09-11"
"CNY Group","https://www.cnygroup.com","Construction Management","New York","New York","","","General Inquiries","connect@cnygroup.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.cnygroup.com/contacts","2026-09-11"
"Gensler","https://www.gensler.com","Architecture","New York","New York","","","General Inquiries","inquiry@gensler.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://www.genslersupply.com/contact-us.html","2026-09-11"
"Perkins Eastman","https://perkinseastman.com","Architecture","New York","New York","","","New Business","newbusiness@perkinseastman.com","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://perkinseastman.com/contact","2026-09-11"
"Pavarini McGovern","https://pavmcgovern.com","Construction Management","New York","New York","Paul","","","paul@pavmcgovern.com","Named","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://edc.nyc/sites/default/files/2020-04/ST-60%20-%20Pavarini%20McGovern%20LLC.pdf","2026-09-11"
"Metropolitan Construction Corp","https://metrocorp.nyc","Commercial General Contractor","Bronx","New York","","","General Inquiries","info@metrocorp.nyc","Role-Based","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://edc.nyc/sites/default/files/2025-03/ConstructNYC-Prequalified-Contractors-03-24-25.pdf","2026-09-11"
"Melcon General Contractors","https://melcongc.com","Commercial General Contractor","Bronx","New York","Eric","Mendoza","Owner","em@melcongc.com","Named","Verified - Published Public Directory or Official Website","Public web research; official company website or authoritative directory","https://edc.nyc/sites/default/files/2025-03/ConstructNYC-Prequalified-Contractors-03-24-25.pdf","2026-09-11"
