"Company Name","Website","Company Type","City","State","Contact First Name","Contact Last Name","Job Title","Email","Email Type","Verification Status","Verification Method","Source URL","Date Verified"
"DC Texas Architecture","https://dctexasarch.com","Architecture Firm","Waxahachie","Texas","","","General Contact","info@dctexasarch.com","Role-Based","Verified - Published Public Web Source","Official company website","https://dctexasarch.com/contact-us","2026-09-11"
"ATX Architects","https://atxarchitects.com","Architecture Firm","Austin","Texas","","","General Contact","info@atxarchitects.com","Role-Based","Verified - Published Public Web Source","Official company website","https://www.atxarchitects.com/contact-us","2026-09-11"
"SZS Architecture","https://szsarchitecture.com","Architecture Firm","Bryan","Texas","","","General Contact","info@szsarchitecture.com","Role-Based","Verified - Published Public Web Source","Official company website","https://szsarchitecture.com/contact-us","2026-09-11"
"Stephen J Kramer Architecture + Design","https://sjkramer.com","Architecture Firm","San Antonio","Texas","","","General Contact","sjkarc.sa@sjkramer.com","Role-Based","Verified - Published Public Web Source","Professional directory","https://directory.tpr.org/texas/san-antonio/architecture/stephen-j-kramer-architecture-design-inc","2026-09-11"
"Architexas","https://architexas.com","Architecture Firm","Austin","Texas","","","General Contact","snoble@architexas.com","Role-Based","Verified - Published Public Web Source","Professional directory","http://aiaaustin.org/architects/architexas/","2026-09-11"
"alterstudio architecture","https://alterstudio.net","Architecture Firm","Austin","Texas","","","General Contact","tim@alterstudio.net","Role-Based","Verified - Published Public Web Source","Professional directory","https://aiaaustin.org/architects/alterstudio-architecture","2026-09-11"
"TCS Engineering","https://tcsengineering.com","Engineering Firm","Dallas","Texas","","","General Contact","admin@tcsengineering.com","Role-Based","Verified - Published Public Web Source","Official company website","https://tcsengineering.com/contact","2026-09-11"
"Centex Engineering","https://centexeng.com","Engineering Firm","Austin","Texas","","","General Contact","info@centexeng.com","Role-Based","Verified - Published Public Web Source","Official company website","https://centexeng.com/contact","2026-09-11"
"Centex Engineers","https://centexengineers.com","Engineering Firm","Texas","Texas","","","General Contact","info@centexengineers.com","Role-Based","Verified - Published Public Web Source","Official company website","https://centexengineers.com/contact","2026-09-11"
"Texas Engineering","https://engineeringtexas.com","Engineering Firm","Texas","Texas","","","General Contact","info@engineeringtexas.com","Role-Based","Verified - Published Public Web Source","Official company website","https://engineeringtexas.com/contact","2026-09-11"
"Tex Engineering","https://texeng.com","Engineering Firm","Texas","Texas","","","General Contact","info@texeng.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texeng.com/contact","2026-09-11"
"Triangle Engineering","https://triangle-engr.com","Engineering Firm","Texas","Texas","","","General Contact","info@triangle-engr.com","Role-Based","Verified - Published Public Web Source","Official company website","https://triangle-engr.com/contact","2026-09-11"
"Texas Engineering & Surveying","https://texasengg.com","Engineering Firm","Texas","Texas","","","General Contact","sales@texasengg.com","Role-Based","Verified - Published Public Web Source","Official company website","https://texasengg.com/contact","2026-09-11"
"AEC Corp","https://aeccorp.com","Construction Materials / Interiors","Dallas","Texas","","","General Contact","info@aeccorp.com","Role-Based","Verified - Published Public Web Source","Official company website","https://aeccorp.com/","2026-09-11"
"Acme Bridge Company","https://acmebridge.com","Engineering / Construction","Texas","Texas","","","General Contact","info@acmebridge.com","Role-Based","Verified - Published Public Web Source","Official company website","https://acmebridge.com/contact","2026-09-11"
"Austex Building & Construction","https://austexbc.com","General Contractor","Austin","Texas","","","General Contact","info@austexbc.com","Role-Based","Verified - Published Public Web Source","Official company website","https://austexbc.com/contact","2026-09-11"
"Austin Builders","https://austinbuilders.com","Custom Homebuilder","Austin","Texas","","","General Contact","info@austinbuilders.com","Role-Based","Verified - Published Public Web Source","Official company website","https://austinbuilders.com/contact","2026-09-11"
"Austin Studio Architects","https://austinstudioarchitects.com","Architecture Firm","Austin","Texas","","","General Contact","info@austinstudioarchitects.com","Role-Based","Verified - Published Public Web Source","Professional directory","https://aiaaustin.org/architects/austin-studio-architects","2026-09-11"
"Construction Contractors Austin","https://constructioncontractorsaustin.com","General Contractor","Austin","Texas","","","General Contact","info@constructioncontractorsaustin.com","Role-Based","Verified - Published Public Web Source","Official company website","https://constructioncontractorsaustin.com/contact","2026-09-11"
"CPM Texas","https://cpmtx.com","Construction Management","Texas","Texas","","","General Contact","info@cpmtx.com","Role-Based","Verified - Published Public Web Source","Official company website","https://cpmtx.com/contact","2026-09-11"
"Creative Design Build","https://creative-design-build.com","Design-Build Firm","Texas","Texas","","","General Contact","info@creative-design-build.com","Role-Based","Verified - Published Public Web Source","Official company website","https://creative-design-build.com/contact","2026-09-11"
"Custom Texas Construction","https://customtexasconstruction.com","Custom Homebuilder","Texas","Texas","","","General Contact","info@customtexasconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://customtexasconstruction.com/contact","2026-09-11"
"Dallas Builders","https://dallasbuilders.com","Custom Homebuilder","Dallas","Texas","","","General Contact","info@dallasbuilders.com","Role-Based","Verified - Published Public Web Source","Official company website","https://dallasbuilders.com/contact","2026-09-11"
"Dallas Commercial Construction","https://dallascommercialconstruction.com","General Contractor","Dallas","Texas","","","General Contact","info@dallascommercialconstruction.com","Role-Based","Verified - Published Public Web Source","Official company website","https://dallascommercialconstruction.com/contact","2026-09-11"
"DBM Construction","https://dbm-llc.com","General Contractor","Texas","Texas","","","General Contact","info@dbm-llc.com","Role-Based","Verified - Published Public Web Source","Official company website","https://dbm-llc.com/contact","2026-09-11"
"Down Under Construction","https://downunderconstruction.net","General Contractor","Texas","Texas","","","General Contact","info@downunderconstruction.net","Role-Based","Verified - Published Public Web Source","Official company website","https://downunderconstruction.net/contact","2026-09-11"
"D Square Builders","https://dsquarebuilders.com","Custom Homebuilder","Texas","Texas","","","General Contact","info@dsquarebuilders.com","Role-Based","Verified - Published Public Web Source","Official company website","https://dsquarebuilders.com/contact","2026-09-11"
"Harbeck Construction","https://harbeckss.com","General Contractor","Texas","Texas","","","General Contact","info@harbeckss.com","Role-Based","Verified - Published Public Web Source","Official company website","https://harbeckss.com/contact","2026-09-11"
