lane,name,title,company,domain,email,email_status,company_source,contact_source,need_source,need_evidence,approval_status
referral_partner,Courtney Neston,Director of Marketing,Baskervill,baskervill.com,cneston@baskervill.com,verified_public,https://www.baskervill.com/,https://www.baskervill.com/contact-us/,https://www.baskervill.com/engaging-with-history-how-the-shockoe-institute-connects-design-and-dialogue-to-improve-civic-life/,"Baskervill's current Shockoe Institute work in Richmond combines civic design, historic context, and public engagement; the firm also publicly offers architecture, MEP engineering, masterplanning, envelope/forensics, accessibility, and code analytics.",pending_message_review
referral_partner,Danny Gordon,Principal,HuntonBrady Architects,huntonbrady.com,dgordon@huntonbrady.com,verified_public,https://www.huntonbrady.com,https://www.huntonbrady.com/post/the-post-covid-19-office-workplace,https://www.huntonbrady.com/project-pages/innovus-innovation-center,"HuntonBrady's Innovus Innovation Center portfolio evidence and workplace-strategy practice indicate active design work requiring integrated building-systems, structural, documentation, and permit coordination.",pending_message_review
builder,Michael Nieri,Chief Executive Officer,Great Southern Homes,greatsouthernhomes.com,michaelnieri@greatsouthernhomes.com,verified_public,https://www.greatsouthernhomes.com,https://www.greatsouthernhomes.com/about-us,https://www.greatsouthernhomes.com/blog/great-southern-homes-celebrates-grand-opening-of-dunbar-village-in-cayce-sc,"New community opening requiring ongoing construction and sales support. Company announced and celebrated the Dunbar Village grand opening. Dunbar Village — Cayce, South Carolina (2025-07-15)",pending_message_review
direct_client,Steven Kendrick,Founder,Structures Building Company,structures.net,,unresolved,https://structures.net/,https://structures.net/our-story/,https://structures.net/our-story/,"The official company story says Structures currently builds custom homes throughout Charleston and the Lowcountry, specifically Sullivan's Island, Isle of Palms, Mount Pleasant, Daniel Island, James Island, and Johns Island, with recent 2026 guidance focused on coastal building and flood zones.",candidate_pending_findymail
referral_partner,Andy Clark,Managing Principal and Education Leader,Liollio Architecture,liollio.com,,unresolved,https://www.liollio.com/,https://www.liollio.com/about,https://www.liollio.com/news/2026/4/1/the-town-of-mount-pleasant-breaks-ground-on-gary-santos-park,"Liollio's official news reports groundbreaking for Gary Santos Park in Mount Pleasant, and the firm focuses on sustainable architecture, interiors, and historic preservation for public projects.",candidate_pending_findymail
referral_partner,Michael T. Foster,Principal,MTFA Architecture,mtfa.net,,unresolved,https://www.mtfa.net/,https://www.mtfa.net/people,https://www.mtfa.net/news/hilton-at-the-key,"Arlington-based MTFA publicly highlights Hilton at The Key alongside an active Northern Virginia portfolio spanning commercial, education, preservation, government, and religious work.",candidate_pending_findymail
builder,Paul Saville,President and Chief Executive Officer,NVR,nvrinc.com,,unresolved,https://www.nvrinc.com,https://investors.nvrinc.com/corporate-governance/management-team/default.aspx,https://www.prnewswire.com/news/nvr%2C-inc.?page=8,"New model opening and active residential community delivery. Ryan Homes announced a grand opening for its Ravenna single-family model at Crystal Lake South. Crystal Lake South — Chesapeake, Virginia (2025-01-01)",candidate_pending_findymail
builder,Kathy Hochul,"President and Chief Executive Officer, Skanska USA Building",Skanska USA Building Inc.,usa.skanska.com,,unresolved,https://www.usa.skanska.com/,https://www.usa.skanska.com/who-we-are/leadership/,https://www.usa.skanska.com/,"Skanska USA Building’s official materials address commercial, healthcare, education, aviation, and public-sector building programs, creating design-assist and technical coordination needs.",candidate_pending_findymail
builder,Fred Perpall,Chief Executive Officer,The Beck Group,beckgroup.com,,unresolved,https://www.beckgroup.com/,https://www.beckgroup.com/leadership/fred-perpall/,https://www.beckgroup.com/,"The Beck Group publicly integrates architecture, construction, development, and sustainability for commercial, healthcare, institutional, and mission-critical work.",candidate_pending_findymail
architect,Chris Goode,Managing Partner,GVSA Architecture,gvsa.com,,unresolved,https://gvsa.com/,https://gvsa.com/team/chris-goode-10,https://gvsa.com/,"GVSA's official site identifies education, multifamily, healthcare, and commercial work in its North Carolina expansion announcement, all building types with recurring structural, MEP, civil, and permitting interfaces.",candidate_pending_findymail
architect,Robert Lauer,Managing Principal,ADW Architects,adwarchitects.com,,unresolved,https://www.adwarchitects.com/,https://www.adwarchitects.com/leadership,https://www.adwarchitects.com/,"ADW's official projects navigation includes K-12, higher education, civic, public safety, office/mixed-use, retail/restaurant, and work-in-progress projects—clear technical building-program evidence.",candidate_pending_findymail
architect,Allen Barnett,Principal,B|W|S Architects,bws-architects.com,,unresolved,https://bws-architects.com/,https://bws-architects.com/about-us/team,https://bws-architects.com/,"B|W|S publishes a projects portfolio alongside its architecture practice; active commercial building design requires structural, MEP, code, and permitting coordination.",candidate_pending_findymail
Direct,Macon R. Brock,President,"Landmark Builders of the Triad, Inc.",landmarkbuilders.com,,findymail_no_result,https://www.landmarkbuilders.com/,https://www.landmarkbuilders.com/about/leadership/,https://www.landmarkbuilders.com/,"Landmark Builders publicly serves healthcare, education, commercial, industrial, and faith-based construction clients, representing a broad pipeline of engineer-coordination work. Official leadership page: https://www.landmarkbuilders.com/about/leadership/. Official markets: https://www.landmarkbuilders.com/markets/",candidate_pending_findymail
Public-Sector Contractor,Todd S. Jordan,President and Chief Executive Officer,"W. M. Jordan Company, Inc.",wmjordan.com,,findymail_no_result,https://www.wmjordan.com/,https://www.wmjordan.com/about/leadership/,https://www.wmjordan.com/,"W. M. Jordan’s official markets include government, higher education, healthcare, K-12, and commercial construction, making it a direct public-sector and institutional coordination prospect. Official leadership page: https://www.wmjordan.com/about/leadership/. Official markets: https://www.wmjordan.com/markets/",candidate_pending_findymail
Architecture Referral Partner,Michael Garvin,Principal,Garvin Design Group,garvindesigngroup.com,,findymail_no_result,https://www.garvindesigngroup.com/,https://www.garvindesigngroup.com/about/,https://www.garvindesigngroup.com/,"Garvin Design Group's official site publishes architecture projects, creating direct public evidence of building work that needs coordinated structural, MEP, civil, and permitting support. Official About page identifies Michael Garvin as Principal: https://www.garvindesigngroup.com/about/. Official projects page: https://www.garvindesigngroup.com/projects/.",candidate_pending_findymail
Architecture Referral Partner,Steven Parker,Principal,Grimm + Parker Architects,grimmparker.com,,findymail_no_result,https://www.grimmparker.com/,https://www.grimmparker.com/leadership/,https://www.grimmparker.com/,"Grimm + Parker's official work presents education, multifamily, mixed-use, healthcare, and public-sector architecture, building types with recurring structural, MEP, civil, and code requirements. Official leadership page: https://www.grimmparker.com/leadership/. Official markets and project evidence: https://www.grimmparker.com/.",candidate_pending_findymail
Architecture referral partner,Mack Scogin,Founding Principal,Mack Scogin Merrill Elam Architects,msme.com,,findymail_no_result,https://www.msme.com,https://www.msme.com/people,https://www.aia.org/design-excellence/award-winners/coter-top-ten-award-2025,Adaptive reuse and workplace project. Received a 2025 AIA COTE Top Ten Award. AIA's dated 2025 COTE award page identifies the firm and project; official people page provides leadership proof.,candidate_pending_findymail
Architecture referral partner,Gregory H. Ayers,President,Ayers Saint Gross,ayerssaintgross.com,,findymail_no_result,https://www.ayerssaintgross.com,https://www.ayerssaintgross.com/people/greg-ayers/,https://www.aia.org/design-excellence/award-winners/coter-top-ten-award-2025,University and research campus project. Received a 2025 AIA COTE Top Ten Award. AIA's dated 2025 COTE award page identifies Ayers Saint Gross and project; official biography identifies Ayers as president.,candidate_pending_findymail
