lane,name,title,company,domain,email,email_status,company_source,contact_source,need_source,need_evidence,approval_status
direct-client,BJ Copeland,CEO,BPR Companies,bprcompanies.com,,unresolved,https://www.bprcompanies.com/,https://www.bprcompanies.com/about,https://azbex.com/local-projects/arizona-projects-05-15-26/,"Construction was underway as of May 15, 2026 on the 17-acre, six-building retail development and its full site infrastructure.",pending FindyMail lookup
direct-client,J.B. Hall,"Vice President, Data Centers and Advanced Technology (DCAT)",Lease Crutcher Lewis / GCON joint venture,lewisbuilds.com,,unresolved,https://lewisbuilds.com/,https://lewisbuilds.com/news-insights/lewis-announces-dcat-leadership-promotions,https://lewisbuilds.com/projects/phx-13-data-center,"Lewis's current PHX-13 project page says its joint venture with Phoenix-based GCON is delivering the two-story, 445,000-square-foot, 72MW Waddell data center, including site work, underground utilities, interior whitespace, and MEP systems. Lewis's leadership-promotion update says J.B. Hall will continue overseeing that GCON joint venture. Lewis's official contact page publishes lewisinfo@lewisbuilds.com for general inquiries.",pending FindyMail lookup
direct-client,Brian Denisar,Chief Executive Officer,Bobbitt Construction,bobbitt.com,,unresolved,https://www.bobbitt.com/,https://www.bobbitt.com/meet-the-bobbitt-team.php,https://www.bobbitt.com/project/central-carolina-logistics-center.php,"Bobbitt publicly features the Central Carolina Logistics Center in the Triangle-area market and offers integrated design-build, preconstruction, virtual design construction, and special-project services.",pending FindyMail lookup
direct-client,Chuck Glace,President,Chasco Constructors,chasco.com,,unresolved,https://www.chasco.com/,https://www.chasco.com/about-us/team/,https://www.chasco.com/round-rock-public-safety-training-center-update/,"Chasco published a construction update for the Round Rock Public Safety Training Center, a technically demanding civic project with structural, site, MEP, and field-coordination exposure.",pending FindyMail lookup
direct-client,Mark Thompson,Director of Business Development,Choate Construction Company,choateco.com,,unresolved,https://www.choateco.com/,https://www.choateco.com/location/savannah/,https://www.choateco.com/news/savannah-state-university-students-tour-historic-renovation-project/,"Choate's Savannah office highlights coastal-region growth and complex renovation work, while its Savannah State University update documents local historic-renovation activity requiring close structural, MEP, and constructability coordination.",pending FindyMail lookup
direct-client,Fleming Herring,"Vice President, Raleigh Division Manager",Clancy & Theys Construction Company,clancytheys.com,,unresolved,https://www.clancytheys.com/,https://www.clancytheys.com/leadership/,https://www.clancytheys.com/projects/301-hillsborough-at-raleigh-crossing/,"The official Raleigh Crossing case study documents a 280,000-square-foot, 19-story Raleigh office tower with complex urban logistics; the Raleigh division leader's page also highlights structural systems, constructability, and project planning.",pending FindyMail lookup
direct-client,Jim Cacini,Chief Estimator,Creative Contractors,creativecontractors.com,,unresolved,https://creativecontractors.com/,https://creativecontractors.com/contact-us/,https://creativecontractors.com/project/tampa-preparatory-innovation-center/,"Creative Contractors publishes Tampa Preparatory's Innovation Center in its portfolio and a July 2025 subcontractor prequalification package, indicating an active regional bid pipeline and education work with multidisciplinary coordination needs.",pending FindyMail lookup
direct-client,Dave Wahler,Director - Scheduling,DAVIS Construction,davisconstruction.com,,unresolved,https://www.davisconstruction.com/,https://www.davisconstruction.com/expertise/project-planning,https://www.davisconstruction.com/projects/all-projects/row-reston-station,"DAVIS is general contractor for The Row at Reston Station, a four-building mixed-use development with two office buildings, a 500,000-square-foot residential component, a 28-story hotel/condominium tower, and a 1.3-million-square-foot garage; its official page promises further updates in fall 2026.",pending FindyMail lookup
direct-client,Irfan Abji,Principal,E Contractors,econtractors.com,iabji@econtractors.com,verified_findymail,https://econtractors.com/,https://econtractors.com/about-construction-company-houston-tx/,https://econtractors.com/project/renovation-aldine-isd-high-school-culinary-arts-hvac/,"E Contractors' Houston-area portfolio includes an Aldine ISD culinary-arts HVAC renovation, signaling active renovation work that depends on MEP coordination, existing-condition resolution, and permit revisions.",pending_suppression_and_message_review
direct-client,David Carl,President,Gay Construction Company,gayconstruction.com,,unresolved,https://www.gayconstruction.com/,https://www.gayconstruction.com/about/,https://www.gayconstruction.com/project/stockyards-atlanta/,"The firm's official portfolio documents adaptive-reuse work at Stockyards Atlanta, signaling recurring needs around existing-condition verification, structural revisions, MEP coordination, and permit responses.",pending FindyMail lookup
