state,lane,name,title,company,domain,email,email_status,company_source,contact_source,need_source,need_evidence,match_score,approval_status
Other US,Hot Market,Maurice Arbelaez,Managing Partner; CEO,PH3 Healthcare,ph3healthcare.com,,unresolved,https://www.ph3healthcare.com/about-us,https://www.ph3healthcare.com/leadership/,https://www.ph3healthcare.com/leadership/,"Official PH3 leadership page identifies Maurice Arbelaez as Managing Partner and says he is CEO of PH3 Healthcare. The same page documents PH3/DIS outpatient imaging operations in three states and revenue exceeding $21M, plus hospital acquisitions and turnarounds.",39,candidate_pending_findymail
Other US,Direct,Justin Perry,Founder/CEO,Legacy Management Solutions,legacymgmtsolutions.com,,unresolved,https://legacymgmtsolutions.com/about,https://legacymgmtsolutions.com/justinperry,https://legacymgmtsolutions.com/justinperry,"Official company bio identifies Justin Perry as Founder/CEO and documents current medical-practice management services, project-management expertise, and oversight of project budgets up to $30 million.",38,candidate_pending_findymail
Other US,Hot Market,Ben Kurland,Owner/CEO,Allaire Health Services,allairehs.com,,unresolved,https://allairehs.com/,https://allairehs.com/,https://allairehs.com/,"Official Allaire site identifies Ben Kurland as Owner/CEO and states the company operates senior-care facilities across multiple states; its current homepage says it is celebrating 10 years and 24 facilities in four states.",40,candidate_pending_findymail
Other US,Direct,Laurie Jaccard,Founder and President,Clinical Intelligence,clinical-intelligence.org,,unresolved,https://clinical-intelligence.org/,https://clinical-intelligence.org/about-us,https://clinical-intelligence.org/,"Official company About page identifies Laurie Jaccard as Founder and President. The current company site offers hospital and health-system consulting, ClinView analytics, and results-oriented 2–16-week engagements.",36,candidate_pending_findymail
Other US,Direct,Cheryl Lovell,CEO,CLC Group Co,clcgroupco.com,,unresolved,http://clcgroupco.com/,http://clcgroupco.com/about-us-1,http://clcgroupco.com/about-us-1,"Official CLC Group team page identifies Cheryl Lovell as CEO. The current company page describes healthcare, operations, and finance business consulting and says Lovell drives company direction and operational solvency.",38,candidate_pending_findymail
Other US,Direct,Robert Schaffer,Chief Executive Officer and General Counsel,Radiology Business Solutions,radbusiness.com,,unresolved,https://radbusiness.com/,https://radbusiness.com/about-rbs/radiology-business-consultants,https://radbusiness.com/about-rbs/radiology-business-consultants,"Official RBS team page identifies Robert Schaffer as Chief Executive Officer and General Counsel and says the firm serves radiology groups and hospitals across the US with radiology business-management solutions.",40,candidate_pending_findymail
Other US,Hot Market,Joshua Lau,Chief Executive Officer,Nymbl Systems,nymblsystems.com,,unresolved,https://nymblsystems.com/about,https://nymblsystems.com/about,https://nymblsystems.com/about,"Official Nymbl About page identifies Josh Lau as Chief Executive Officer, presents a current commercial product for O&P, CRT, and DME industries, and includes a Book a Demo call to action.",35,candidate_pending_findymail
Other US,Hot Market,Mark Santamaria,Co-Founder & Managing Director,Pillar Health International,pillarhealthinternational.com,,unresolved,https://www.pillarhealthinternational.com/,https://pillarhealthinternational.com/about-us,https://www.pillarhealthinternational.com/,"Official Pillar pages identify Mark Santamaria as Co-Founder and Managing Director. The current site documents hospital development and management, including conceptual design through establishment of new hospitals, ambulatory surgery centers, and diagnostic facilities.",40,candidate_pending_findymail
Other US,Direct,Lori A Buehler,Managing Principal,Pro Health Credentialing,prohealthcredentialing.com,,unresolved,https://www.prohealthcredentialing.com/about-1,https://www.prohealthcredentialing.com/about-1,https://www.prohealthcredentialing.com/about-1,"Official About page identifies Lori Buehler as Managing Principal and documents active practice start-up and growth work, new health-plan contracts, certification, accreditation, and Medicare enrollment services.",39,candidate_pending_findymail
Other US,Direct,Tammy Tuminaro,Chief Executive Officer,Century Rehabilitation Inc,centuryrehab.com,,unresolved,https://www.centuryrehab.com/about-century-rehabilitation,https://www.centuryrehab.com/about-century-rehabilitation,https://www.centuryrehab.com/about-century-rehabilitation,"Official Century About page identifies Tammy Tuminaro as Chief Executive Officer and documents current therapy, staffing, and consulting services for skilled-nursing and outpatient facilities.",36,candidate_pending_findymail
